25110	(-343090093.878+9840817.46288j)	(-7664306.12413+4882063.33882j)	(32.4257261217+19.370785674j)
25129	(-300270129.395+68827819.9469j)	(-4861253.68484+6921246.49406j)	(27.0643972988+24.3746886406j)
25113	(-260842023.782-4154708.63952j)	(-4816826.81574+3090293.84289j)	(37.9702486978+25.2228155694j)
CAN43	(-46724287.3208+1384494.53749j)	(-1115994.65072+538181.578196j)	(34.4536079922+15.3744487711j)
25142	(-277158250.159+5865832.76931j)	(-6562825.36134+4092611.23122j)	(30.8081469078+18.3183200313j)
CAN98	(-318408039.432+6413486.57988j)	(-5626884.34343+5096791.05795j)	(31.6509662215+27.5294222484j)
CANA6	(-238249282.167+4591455.31526j)	(-4327392.59175+3636083.67524j)	(32.7942828919+26.4943147445j)
25145	(-275600751.07+8341453.06253j)	(-6562825.36134+4092611.23122j)	(30.8066450206+17.9401647709j)
CAN47	(-122146205.967+8763335.92392j)	(-3103000.70195+2702969.27404j)	(23.7800392631+17.8902246155j)
CAN46	(26714205.9664-54886728.4878j)	(-479843.066064-2002571.99495j)	(22.8970621959+18.8263905564j)
CAN52	(-58814231.8066-1252769.94571j)	(-1315177.78995+821025.95093j)	(31.7511313142+20.7738245999j)
25105	(-300449786.994-5933165.47942j)	(-7222755.89105+5937537.92556j)	(24.4198647526+20.8960458947j)
25115	(-310093344.865+35446983.6495j)	(-6038409.58264+5800516.34904j)	(29.6409848196+22.6029770803j)
CAN53	(-187310449.241+15792562.9472j)	(-4605875.65931+4288084.5112j)	(23.4951299739+18.4452526006j)
CAN49	(-71391785.2422-424152.102777j)	(-1588682.94676+1159708.4303j)	(29.1888788918+21.5743116615j)
CAN48	(-29742334.7451-202610.257326j)	(-548065.358101+445524.590438j)	(32.4945317662+26.7846215729j)
94108	(-354016213.715+2575184.70871j)	(-8624531.84295+4958960.20361j)	(30.9778268314+17.5131390889j)
CAN42	(-141615864.066-5680888.6785j)	(-3052615.44634+1798075.93311j)	(33.6280781444+21.6688698034j)
25118	(-351035251.82-10183265.7443j)	(-8664437.19118+5672345.15853j)	(27.8211312825+19.3889483382j)
25101	(-245294420.718+21808383.474j)	(-5169756.80924+4518919.52379j)	(28.9872585135+21.1195050352j)
CAN44	(-87031385.3323+2379862.68526j)	(-1896259.71649+902258.272551j)	(37.9107154285+16.7832463305j)
25119	(-334867898.999+8942205.55894j)	(-8242233.54275+5752528.2507j)	(27.8294682301+18.3381841649j)
CAN05	(-157223815.261+6998509.66441j)	(-3683163.36322+3053689.68663j)	(26.2312611819+19.8480531176j)
CAN50	(-117320722.68+4962614.30112j)	(-2043636.9069+1976188.42347j)	(30.8803569989+27.4328524422j)
CAN45	(-84134718.91+2927334.0691j)	(-2240502.92861+1347497.92873j)	(28.1538631488+15.6259283407j)
CAN04	(-178197891.474-4762212.89415j)	(-4367426.12325+2648143.61642j)	(29.349978346+18.8864489897j)
CAN51	(-99577748.8049+4560304.92555j)	(-1806047.35239+1488606.82329j)	(34.0706278018+25.5571727027j)
CAN03	(-150821675.746+8713261.62653j)	(-3716520.10707+3313942.62625j)	(23.7714571942+18.8520394452j)
CANA4	(-53250214.2442-19301302.8531j)	(-310953.273389+5554.65840265j)	(170.0852081+65.1096798655j)
16903	(-192277475.446-4386279.52637j)	(-2385870.17905+1905477.6056j)	(48.3085317004+40.4200973246j)
26005	(-182575772.409-22943420.5682j)	(-2386788.99535+1502735.4572j)	(50.4454035901+41.3733754379j)
CAN39	(-122400282.905-12159343.2182j)	(-1466157.21537-71132.9659562j)	(83.6891089553+4.23303082024j)
16914	(-22992821.8018-2657580.33238j)	(-244970.815216+166785.432358j)	(59.0850280633+51.0758894802j)
CAN93	(-30121763.7456-7374991.6887j)	(-446925.510785+62834.779609j)	(63.8162845235+25.4737614826j)
CAN69	(-16892879.2004-26159377.5752j)	(-358459.200311-103301.206275j)	(62.9307477131+54.8418213497j)
16801	(-224387140.384+4160913.41108j)	(-3194071.0382+1805466.2738j)	(53.7982252545+29.1070445097j)
CAN37	(-62441292.9562-31032223.5683j)	(-1074594.36053+273386.769955j)	(47.6743214284+41.0068709942j)
CANA5	(-43005254.2452+2756353.88468j)	(-423990.60605+557315.39244j)	(40.3165844402+46.4932451643j)
16895	(-175454363.851-3163544.36332j)	(-1999478.89463+1149647.54665j)	(65.2643034274+39.1074348883j)
16603	(-234849719.445-57513357.6653j)	(-2815203.28574+1171592.29367j)	(63.8597139394+47.0058084483j)
CANA7	(-15998900.9419-7029291.43379j)	(-184943.20902-105850.848959j)	(81.5475800725-8.6653041001j)
CAN86	(-101127454.578+5039395.10896j)	(-1300942.93872+979807.254099j)	(51.4608789499+34.8841951769j)
CAN38	(40697145.1604-110513155.872j)	(-488874.571569-1467363.57389j)	(59.4724118029+47.5490166461j)
CAN40	(-12952293.4551-1485849.28674j)	(-152759.345681+74449.2175578j)	(64.6844258423+41.2515132922j)
17901	(-116849442.553-4663392.45602j)	(-1034671.73857+628282.332076j)	(80.5105802068+53.3954543126j)
CAN79	(-64893133.3331-6167808.67648j)	(-1211728.61157+411515.457091j)	(46.4663336714+20.8705340249j)
CAN80	(-56627537.9984-3847223.90535j)	(-1065822.60761+482260.189914j)	(42.7455562029+22.9510087168j)
CAN81	(-93404963.5132-10061764.9927j)	(-1006254.54134+328694.112248j)	(80.9235187918+36.4329775976j)
14636	(-386234620.23-16731769.8475j)	(-6267401.92472+4006894.64922j)	(42.5340661671+29.8626598757j)
14673	(-328011646.316-22247829.5393j)	(-4736396.95803+2519019.72775j)	(52.036380195+32.3723917505j)
CAN82	(-73187847.0671-4901455.80188j)	(-849065.555584+450961.032321j)	(64.8407767122+40.2114055623j)
14642	(-265142897.156-34361660.7377j)	(-1335042.39005+173798.517109j)	(191.998087081+50.7329535491j)
14633	(-387266082.311-26422298.94j)	(-4448277.5483+2239527.71146j)	(67.0691657673+39.7065048982j)
CAN84	(-8283532.49237-36326515.182j)	(-345976.007153-499307.891512j)	(56.9202629777+22.8506559033j)
14646	(-375389347.467-48395568.8804j)	(-5532123.76286+1227545.14215j)	(62.8219683254+22.6879181123j)
14675	(-115613406.059-8345930.33049j)	(-1919647.65743+1148215.50314j)	(42.4415650286+29.7335779577j)
14647	(-394160747.215-9111907.86359j)	(-4167365.62087+1415257.71492j)	(84.1365747132+30.7596827337j)
CAN85	(-115593112.326-27517329.2416j)	(-683430.757022+243821.967952j)	(137.297029375+89.245853382j)
CAN06	(-163295856.361+9242107.21618j)	(-790405.077307+882638.079097j)	(97.7548590676+97.4690775977j)
14522	(-230840281.439-58869647.8431j)	(-1883876.75678+518718.590078j)	(105.90137278+60.408759867j)
CAN87	(-80054383.4252-14918478.9455j)	(-1198570.38218+541443.591308j)	(50.8016801682+35.3961050024j)
CAN88	(-164405667.69-28311201.5771j)	(-1382376.25289+381325.483527j)	(105.270145117+49.5186389537j)
CAN95	(-41131221.4266-6448988.97548j)	(-331974.031654+157411.969919j)	(93.6350155109+63.8250561796j)
15503	(-252284213.274-46009270.7384j)	(-3144122.29968+1577568.7455j)	(58.2363297884+43.8536008856j)
CAN83	(-146816935.517-8379103.51418j)	(-2176766.92161+1802780.39726j)	(38.1156652461+35.4164136194j)
CAN89	(-49582468.2167+95241956.5276j)	(148855.071709+1620861.64529j)	(55.4828224068+35.6855675453j)
15504	(-143011284.811-24703987.6823j)	(-887644.170491+334482.416651j)	(131.897439029+77.5326016063j)
14523	(-265290063.002-46700510.9283j)	(-5027274.50004+2105133.06661j)	(41.5880187266+26.7040966876j)
14509	(-349994467.564-79619191.0554j)	(-5126332.56622+2068284.70742j)	(53.3268393866+37.0468117315j)
